"""","田畑総数(ha)","田計(ha)","普通田(ha)","特殊田(ha)"," 畑計(ha)"," 普通畑(ha)"," 樹園地(ha)"," 牧草地(ha)"
"平成19年(2007年)","36500.0","11200.0","11200.0","0.0","25300.0","2560.0","22700.0","41.0"
"平成20年(2008年)","36000.0","10900.0","10900.0","0.0","25100.0","2540.0","22500.0","41.0"
"平成21年(2009年)","35600.0","10700.0","10700.0","0.0","24900.0","2530.0","22300.0","41.0"
"平成22年(2010年)","35200.0","10600.0","10600.0","0.0","24700.0","2550.0","22100.0","41.0"
"","","","","","","","",""
"平成23年(2011年)","35000.0","10500.0","10500.0","0.0","24500.0","2580.0","21900.0","41.0"
"平成24年(2012年)","34700.0","10300.0","10300.0","0.0","24400.0","2520.0","21800.0","38.0"
"平成25年(2013年)","34600.0","10300.0","10300.0","0.0","24300.0","2580.0","21700.0","35.0"
"平成26年(2014年)","34200.0","10100.0","10100.0","0.0","24200.0","2530.0","21600.0","35.0"
"","","","","","","","",""
"   和歌山市","2910.0","2020.0","2020.0","0.0","898.0","…","…","…"
" 　海 南 市","2530.0","445.0","445.0","0.0","2090.0","…","…","…"
"　 橋 本 市","1560.0","673.0","673.0","0.0","882.0","…","…","…"
" 　有 田 市","1330.0","34.0","34.0","0.0","1300.0","…","…","…"
" 　御 坊 市","853.0","451.0","451.0","0.0","402.0","…","…","…"
" 　田 辺 市","3630.0","537.0","537.0","0.0","3090.0","…","…","…"
" 　新 宮 市","176.0","131.0","131.0","0.0","45.0","…","…","…"
" 　紀の川市","4890.0","1400.0","1400.0","0.0","3480.0","…","…","…"
" 　岩 出 市","576.0","527.0","527.0","0.0","49.0","…","…","…"
"","","","","","","","",""
" 　紀美野町","801.0","199.0","199.0","0.0","602.0","…","…","…"
"","","","","","","","",""
" 　かつらぎ町","1890.0","254.0","254.0","0.0","1640.0","…","…","…"
" 　九度山町","478.0","38.0","38.0","0.0","440.0","…","…","…"
" 　高 野 町","89.0","35.0","35.0","0.0","54.0","…","…","…"
"","","","","","","","",""
" 　湯 浅 町","614.0","31.0","31.0","0.0","583.0","…","…","…"
" 　広 川 町","690.0","151.0","151.0","0.0","539.0","…","…","…"
"　 有田川町","3220.0","314.0","314.0","0.0","2900.0","…","…","…"
"","","","","","","","",""
" 　美 浜 町","206.0","163.0","163.0","0.0","43.0","…","…","…"
" 　日 高 町","548.0","471.0","471.0","0.0","77.0","…","…","…"
" 　由 良 町","373.0","111.0","111.0","0.0","262.0","…","…","…"
" 　印 南 町","968.0","285.0","285.0","0.0","683.0","…","…","…"
" 　みなべ町","2470.0","200.0","200.0","0.0","2270.0","…","…","…"
" 　日高川町","1070.0","362.0","362.0","0.0","712.0","…","…","…"
"","","","","","","","",""
" 　白 浜 町","704.0","404.0","404.0","0.0","300.0","…","…","…"
"　 上富田町","694.0","220.0","220.0","0.0","474.0","…","…","…"
" 　すさみ町","212.0","140.0","140.0","0.0","72.0","…","…","…"
"","","","","","","","",""
" 　那智勝浦町","341.0","264.0","264.0","0.0","77.0","…","…","…"
" 　太 地 町","17.0","1.0","1.0","0.0","16.0","…","…","…"
" 　古座川町","141.0","96.0","96.0","0.0","45.0","…","…","…"
"　 北 山 村","16.0","5.0","5.0","0.0","11.0","…","…","…"
" 　串 本 町","249.0","125.0","125.0","0.0","124.0","…","…","…"
